name,description,isActive,productInclType,product,paApplies,paType,paPercent,paBaseAmountType,paAmount,rndApplies,roundType,rndToAmount,rndIsMinus,rndPMAmount,customerInclType,customer,dateApplies,dateBegin,dateEnd,qtyApplies,qtyMin,qtyMax,isAutoApply,isTier2,dateCreated,dateLastModified
"A to Z Wholesale - Atlanta 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$311.60","false","Round to nearest","$1.00","true","$0.01","Customer","A to Z Wholesale - Atlanta","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"A to Z Wholesale - Atlanta 01829",,"true","Product","01829","true","Fixed price","0%","Product Price","$261.40","false","Round to nearest","$1.00","true","$0.01","Customer","A to Z Wholesale - Atlanta","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","06/16/2023"
"A to Z Wholesale - Atlanta 02830",,"true","Product","02830","true","Fixed price","0%","Product Price","$300.40","false","Round to nearest","$1.00","true","$0.01","Customer","A to Z Wholesale - Atlanta","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/20/2023"
"A to Z Wholesale - Atlanta 01841",,"true","Product","01841","true","Fixed price","0%","Product Price","$268.20","false","Round to nearest","$1.00","true","$0.01","Customer","A to Z Wholesale - Atlanta","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"CB Distributors Inc. 01841",,"true","Product","01841","true","Fixed price","0%","Product Price","$248.60","false","Round to nearest","$1.00","true","$0.01","Customer","CB Distributors Inc.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","07/08/2023"
"Legacy Blister 11794",,"true","Product","11794","true","Fixed price","0%","Product Price","$56.88","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Legacy Blister 11834",,"true","Product","11834","true","Fixed price","0%","Product Price","$50.40","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Legacy Blister 11837",,"true","Product","11837","true","Fixed price","0%","Product Price","$81.36","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"Legacy Blister 11836",,"true","Product","11836","true","Fixed price","0%","Product Price","$63.00","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"Legacy Blister 11877",,"true","Product","11877","true","Fixed price","0%","Product Price","$64.80","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Legacy Blister 11845",,"true","Product","11845","true","Fixed price","0%","Product Price","$89.28","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"Legacy Blister 11952",,"true","Product","11952","true","Fixed price","0%","Product Price","$67.20","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Legacy Blister 11953",,"true","Product","11953","true","Fixed price","0%","Product Price","$80.64","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Legacy Blister 11956",,"true","Product","11956","true","Fixed price","0%","Product Price","$64.08","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Legacy Blister 11965",,"true","Product","11965","true","Fixed price","0%","Product Price","$76.32","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Legacy Blister 11963",,"true","Product","11963","true","Fixed price","0%","Product Price","$91.44","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","12/31/1999","01/02/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Legacy Blister 12836",,"true","Product","12836","true","Fixed price","0%","Product Price","$103.68","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"Legacy Blister 12947",,"true","Product","12947","true","Fixed price","0%","Product Price","$77.76","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Legacy Blister 12951",,"true","Product","12951","true","Fixed price","0%","Product Price","$69.60","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Legacy Blister 12964",,"true","Product","12964","true","Fixed price","0%","Product Price","$77.76","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Keefe Supply 11836",,"true","Product","11836","true","Fixed price","0%","Product Price","$72.00","false","Round to nearest","$1.00","true","$0.01","Customer","Keefe Supply","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","06/16/2023"
"Keefe Supply 11834",,"true","Product","11834","true","Fixed price","0%","Product Price","$47.40","false","Round to nearest","$1.00","true","$0.01","Customer","Keefe Supply","false","10/21/2013","02/05/2026","false","0","0","true","false","03/15/2023","03/15/2023"
"Keefe Supply 11952",,"true","Product","11952","true","Fixed price","0%","Product Price","$72.00","false","Round to nearest","$1.00","true","$0.01","Customer","Keefe Supply","false","06/01/2013","02/28/2021","false","0","0","true","false","03/15/2023","03/15/2023"
"Keefe Supply 11956",,"true","Product","11956","true","Fixed price","0%","Product Price","$67.68","false","Round to nearest","$1.00","true","$0.01","Customer","Keefe Supply","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Keefe Supply 12836",,"true","Product","12836","true","Fixed price","0%","Product Price","$106.56","false","Round to nearest","$1.00","true","$0.01","Customer","Keefe Supply","false","10/21/2013","09/30/3000","false","0","0","true","false","03/15/2023","06/16/2023"
"ABC 123 Accessories, LLC 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$337.40","false","Round to nearest","$1.00","true","$0.01","Customer","ABC 123 Accessories, LLC","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
