CNTRL,item-No-MR,item-No,Desc,QTY,GW,NW,MEAS,UPC-EACH,UPC-SLEEVE,UPC-CASE
,#01021,01021,Copper Pads,12/cs,,,,655708010211,30655708010212,50655708010216
,#01027,01027,Super Glue,288/cs,,,,655708010273,30655708010274,50655708010278
,#01044,01044,Single Edge Blades,5/bag; 24 Bags/Card; 48/cs,,,,655708010440,30655708010441,50655708010445
,#01055,01055,Nail Clipper Blister,144/cs,,,,655708010556,30655708010557,50655708010551
,#01056,01056,Nail Clipper Jar,72/pcs; 12/cs,,,,655708010563,30655708010564,50655708010568
,#01057,01057,Toe Nail Clippers,144/cs,,,,655708010570,30655708010571,50655708010575
,#01060,01060,Scissors,144/cs,,,,655708010600,30655708010601,50655708010605
,#01061,01061,Bottle Opener Lrg.,144/cs,,,,655708010617,30655708010618,50655708010612
,#01062,01062,Bottle Opener Travel,288/cs,,,,655708010624,30655708010625,50655708010629
,#01078,01078,Tweezers,144/cs,,,,655708010785,30655708010786,50655708010780
,#01079,01079,Mini-Fuses,144/cs,,,,655708010792,30655708010793,50655708010797
,#01082,01082,Glass Fuses European,144/cs,,,,655708010822,30655708010823,50655708010827
,#01083,01083,Auto Bulbs 1157,144/cs,,,,655708010839,30655708010830,50655708010834
,#01086,01086,Auto Bulbs 89,144/cs,,,,655708010860,30655708010861,50655708010865
,#01090,01090,Battery Terminal Side Post,1pc/ Card; 144/cs,,,,655708010907,30655708010908,50655708010902
,#01091,01091,Tire Repair Kit,144/cs,,,,655708010914,30655708010915,50655708010919
,#01092,01092,Tire Gauge,144/cs,,,,655708010921,30655708010922,50655708010926
,#01108,01108,Adjustable Wrench,72/cs,,,,655708011089,30655708011080,50655708011084
,#01112,01112,Ball Tip Brush,48/cs,,,,655708011126,30655708011127,50655708011121
,#01113,01113,Diagonal Pliers,48/cs,,,,655708011133,30655708011134,50655708011138
,#01118,01118,Duct Tape,72/cs,,,,655708011188,30655708011189,50655708011183
,#01119,01119,Waiters Corkscrew,144/cs,,,,655708011195,30655708011196,50655708011190
,#01120,01120,Electric Tape,144/cs,,,,655708011201,30655708011202,50655708011206
,#01121,01121,Comb Pocket Size,144/cs,,,,655708011218,30655708011219,50655708011213
,#01122,01122,Comb Full Size,288/cs,,,,655708011225,30655708011226,50655708011220
,#01123,01123,Battery Terminal Top Post,1pc/ Card; 144/cs,,,,655708011232,30655708011233,50655708011237
,#01126,01126,Bobby Pins,144/cs,,,,655708011263,30655708011264,50655708011268
,#01137,01137,Screwdriver Flat Head,144/cs,,,,655708011379,30655708011370,50655708011374
,#01138,01138,Bandanas Assorted,12/cs,,,,655708011386,30655708011387,50655708011381
,#01139,01139,Jumper Cables Sleeve Pack,20/cs,,,,655708011393,30655708011394,50655708011398
,#01181,01181,Toe Nail Clippers Jar,12/cs,,,,655708011812,30655708011813,50655708011817
,#01184,01184,Corkscrew Standard,72/cs,,,,655708011843,30655708011844,50655708011848
,#01185,01185,Corkscrew Premium,72/cs,,,,655708011850,30655708011851,50655708011855
,#01189,01189,Corkscrew Travel Size,144/cs,,,,655708011898,30655708011899,50655708011893
,#01191,01191,Corkscrew & Bottle Opener Travel Sz.,12/cs,,,,655708011911,30655708011912,50655708011916
,#01192,01192,Squeegee Wooden Handle,60/cs,,,,655708011928,30655708011929,50655708011923
,#01193,01193,Jumper Cables Premium,20/cs,,,,655708011935,30655708011936,50655708011930
,#01301,01301,Masking Tape,72/cs,,,,655708013014,30655708013015,50655708013019
,#01302,01302,Contact Lens Single Case,144/cs,,,,655708013021,30655708013022,50655708013026
,#01303,01303,Eyeglass Repair Kit,144/cs,,,,655708013038,30655708013039,50655708013033
,#01307,01307,Toothbrush Full Size Mega Pack (Soft),12/Display; 20/cs,,,,655708013076,30655708013077,50655708013071
,#01309,01309,Toothbrush Full Size Mega Pack (Med.),12/Display; 20/cs,,,,655708013090,30655708013091,50655708013095
,#01333,01333,Security Lock 45mm,72/cs,,,,655708013335,30655708013336,50655708013330
,#01337,01337,Round Brush,48/cs,,,,655708013373,30655708013374,50655708013378
,#01348,01348,Plastic Funnel 1/2 Pint,72/cs,,,,655708013489,30655708013480,50655708013484
,#01349,01349,Plastic Funnel 1 Pint,48/cs,,,,655708013496,30655708013497,50655708013491
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
