DESCRIPTION, ITEM NUMBER, EACH UPC, SLEEVE UPC, CASE UPC, PACK TYPE, COUNT

Advil PM Dispenser 30 x 2's [20/cs.]                        ,  01784 ,   655708017845 ,   30655708017846 ,   50655708017840 ,   Dispenser ,   60

Single Edge Blade Carded (5/ Bag) 24 Bags/ Card [48/cs.]    ,  #01044 ,   655708010440 ,   30655708010441 ,   50655708010445 ,   Carded ,   24

Bayer Aspirin Dispenser 50 x 2's [20/cs.]                   ,  #01828 ,   655708018286 ,   30655708018287 ,   50655708018281 ,   Dispenser ,   100

Aleve 50 x 1's Dispenser [20/cs.]                           ,  #01832 ,   655708018323 ,   30655708018324 ,   50655708018328 ,   Dispenser ,   50

Midol Caplet Dispenser 30 x 2 [20/cs.]                      ,  #01841 ,   655708018415 ,   30655708018416 ,   50655708018410 ,   Dispenser ,   60

 Excedrin Migraine Dispenser 25 x 2's [20/cs.]              ,  #01873 ,   655708018736 ,   30655708018737 ,   50655708018731 ,   Dispenser ,   50

 Tylenol Extra Strength Dispenser 25 x 2's [20/cs.]         ,  #01945 ,   655708019450 ,   30655708019451 ,   50655708019455 ,   Dispenser ,   50

Motrin Dispenser 30 x 2's [20/cs.]                          ,  #01947 ,   655708019474 ,   30655708019475 ,   50655708019479 ,   Dispenser ,   60

** COMPANY BOXES 50 CT ** Motrin Dispenser 50 x 2's [12/cs.],  #01947.5 ,    ,    ,    ,   Dispenser ,   100

Pepcid Chewable 25 x 1's Dispenser [20/cs.]                 ,  #01953 ,   655708019535 ,   30655708019536 ,   50655708019530 ,   Dispenser ,   25

DESCRIPTION, ITEM NUMBER, EACH UPC, SLEEVE UPC, CASE UPC, PACK TYPE, COUNT

"Mini Zip Bags 1 1/2"" x 1 1/2"" Carded [50/cs.]",  #01041 ,   655708010419 ,   30655708010410 ,   50655708010414 ,   Carded ,   

