DESCRIPTION, ITEM NUMBER, EACH UPC, SLEEVE UPC, CASE UPC, PACK TYPE, COUNT

 Claritin Dispenser 25 x 1 [20/cs.],  #01635 ,   655708016350 ,   30655708016351 ,   50655708016355 ,   Dispenser ,   25

Prime Aid - Stomach Relief Anti Diarrheal - Blue - Dispenser 36 x 2's [20/cs.],#01443,655708014431,30655708014432,50655708014436,Dispenser,72
 Claritin Dispenser 25 x 1 [20/cs.]                                           ,#01635,655708016350,30655708016351,50655708016355,Dispenser,25
 Excedrin Dispenser 25 x 2's [20/cs.]                                         ,#01864,655708018644,30655708018645,50655708018649,Dispenser,50
 Excedrin Migraine Dispenser 25 x 2's [20/cs.]                                ,#01873,655708018736,30655708018737,50655708018731,Dispenser,50
Theraflu Nighttime Severe Cold & Cough 20 x 1's [20/cs.]                      ,#01898,655708018989,30655708018980,50655708018984,Dispenser,20
Motrin Dispenser 30 x 2's [20/cs.]                                            ,#01947,655708019474,30655708019475,50655708019479,Dispenser,60
** COMPANY BOXES 50 CT ** Motrin Dispenser 50 x 2's [12/cs.]                  ,#01947.5,,,,Dispenser,100
Pepcid Chewable 25 x 1's Dispenser [20/cs.]                                   ,#01953,655708019535,30655708019536,50655708019530,Dispenser,25
 Tylenol Cold Dispenser 20 x 2's [20/cs.]                                     ,#01959,655708019597,30655708019598,50655708019592,Dispenser,40
 Benadryl Dispenser 20 x 2's [20/cs.]                                         ,#01972,655708019726,30655708019727,50655708019721,Dispenser,40
Alka Seltzer Plus Dispenser 30 x 2's [20/cs.]                                 ,#02830,655708028308,30655708028309,50655708028303,Dispenser,60
